Что,Где,Когда,Кто,Тип,Столбец 6,Оценка,Откуда,Тэги,Жанр,Фича,РАЗНЕСЛИ:,6884,,,,,,
27) Ансамбль Христа Спасителя и Мать Сыра Земля — Наши иконы самые красивые {Our Icons Are the Most Beautiful},https://vk.com/video245350531_456239019,7:27:55,MeinJurer,донат,,кринж-контент++,,,рок / инди,,,,,,,,,
28) devalon — Queen Alice - Grand Guignol Phase 6 [OST; Black Souls II],https://www.youtube.com/watch?v=VjpMVZDEeSw,7:44:15,wend1g,долг,,нормас++,Игра,,метал / оркестровое,,,,,,,,,
28.5) Faryma.composer узнаёт про 6 декабря + сватует чат на стриме #7 + розыгрыш бана в чате,Стрим,7:56:45,Faryma.composer,,,,,,,,,,,,,,,
29) Silent Planet — Inhabit the Wound,https://music.yandex.ru/track/29746260?utm_source=desktop&utm_medium=copy_link,8:06:35,Indie Anthems,донат,,атлична - -,,,метал,,,,,,,,,
30) Король и Шут — Рогатый {Horned Man},https://open.spotify.com/track/1cfMjJVRSBtixEvRbDdW1N?si=40bbe484b8dd4fc0,8:15:15,SinWarlock,долг Х5⚰️,,хорошечно,,,рок,,,,,,,,,
31) Ludvig Forssell feat. Jenny Plant — BB's Theme [Death Stranding OST],https://youtu.be/Ghk1RFr51xo?si=IMyE6_ygmoTU1qQS,8:25:20,Влад Горшков,донат,,атлична+,Игра,,оркестровое / электронное,,,,,,,,,
"32) HoneyWorks feat. Saori Hayami — Kawaikute Gomen {Прости, что такая милая / Sorry for being so sweet / 可愛くてごめん} (Сейю Chuu-tan / Chizuru Nakamura) [Character Song; Confession Executive Committee ~Love Series~ / Комитет исполнения признаний ~Серия любви~]",https://www.youtube.com/watch?v=K4xLi8IF1FM,8:39:00,ShadeR_93,долг Х4☠️,,хорошечно - -,Аниме,,поп,,,,,,,,,
СТРИМ №177 (4.12.25),https://vkvideo.ru/video-182074546_456239292,, ,,,,,,,,,,,,,,,
ДОЛГОВОЙ, ,, ,,,,,,,,,,,,,,,
1) milet — Fly High (Theme Song; NHK Winter Sports),https://youtu.be/TMDNnaQiCHY?t=21,19:05,mage10,долг Х6👻,,атлична - -,,,поп / оркестровое,,,,,,,,,
2) MANNA — Dete koi tobikiri ZENKAI Power! {Выходи! Супер Зенкай Пауэр! / Come out! Super Zenkai Power! / でてこい とびきりZENKAIパワー!} [1 Ending Dragon Ball Z / Драконий жемчуг Зет],https://www.youtube.com/watch?v=xa9gh6_bHrY,33:50,Eagler,долг Х7🥀,,хорошечно-,Аниме,,поп / фанк,,,,,,,,,
3) HALCALI — Otsukare SUMMER {Усталое лето / Tired summer / おつかれSUMMER},https://youtu.be/ViFHruS6oO8?si=C7qypcEFIcgOPI3Z,45:10,Svd_bb,заказ,,гениально - -,,,поп / джаз / инди,,,,,,,,,
"4) Sān-Z, HOYO-MiX & Alaina Cross — FURYON [Zenless Zone Zero OST]",https://youtu.be/kN7Mg-BmW3A,58:05,laitsberg,долг Х5⚰️,,хорошечно+,Игра,,электронное / поп / поп-рок,,,,,,,,,
5) go!go!vanillas — SHAKE,https://youtu.be/0Gyeavg_mhM,1:10:40,AndrLord,долг Х4☠️,,атлична-,,,поп / джаз ,,,,,,,,,
6) Alcest — Kodama,https://open.spotify.com/track/5bHNv9KRMITaWR2puuBQdG,1:21:20,Hantrik,долг Х3💀,,атлична,,,инди / рок,,,,,,,,,
7) devalon — No Face - Grand Guignol Phase 5 [OST; Black Souls II],https://www.youtube.com/watch?v=MdzDzbjj5Xc,1:40:35,wend1g,долг Х2,,хорошечно-,Игра,,оркестровое / инструментал,,,,,,,,,
"8) Hilcrhyme — Killer Bars [1 Opening My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me! / Другой мир не может противостоять силе мгновенной смерти]",https://open.spotify.com/album/4cmcSalneTMr2guz93ynOx,2:08:00,Silicatium,заказ,,нормас++,Аниме,,поп / рэп,,,,,,,,,
9) -45 — G e n g a o z o (2003 BMS event 'LiZ vs OMT'),https://youtu.be/5MgKQgQrv3Q?si=9y2MeP9cGLHTz161,2:19:35,egorkasprigorca,долг,,хорошечно - -,Игра,,электронное / инструментал,,,,,,,,,
10) The Black Keys — Howlin' for You (Remastered),https://youtu.be/Zs3cyuXSFII?si=jjmJ87ofRRQomJI6,2:34:35,GameCloser,долг Х6👻,,хорошечно++,,,джаз / рок,,,,,,,,,
11) frederic — Akuma {Дьявол / Devil / 悪魔} [Main Theme; Cinderella Closet / Шкаф Золушки],https://youtu.be/7wlIRvO8j3g?si=yHCw-8__BaYb-SWo,2:48:00,Svd_bb,долг Х5⚰️,,атлична - -,Фильм,,поп / фанк / поп-рок,,,,,,,,,
"12) Bill Hemstapat feat. Layth Sidiq — Zaahen, the Unsundered [League of Legends OST]",https://open.spotify.com/track/40Hsk65T7AycaUT5GYu0pB?si=95e208ae46204653,2:58:25,laitsberg,заказ,,атлична,Игра,,оркестровое / электронное ,,,,,,,,,
13) Nyxen — Kurovia,https://open.spotify.com/track/3auXgEao7pT0p0qHdgy7yz?si=d5ffd2ab2c944693,3:06:50,AnonymousAdomin,долг Х4☠️,,хорошечно+,,,инди / метал,,,,,,,,,
14) Mrs. GREEN APPLE — Speaking [4 Ending Yu-Gi-Oh! ARC-V / Югио! Арк-Файв],https://youtu.be/4KUA-1DvQZk?si=sE8IqXfnHNYcdxN6,3:23:10,AndrLord,долг Х3💀,,хорошечно,Аниме,,поп-рок,,,,,,,,,
15) Jake Kaufman — La Danse Macabre(Lich Yard) [OST; Shovel Knight / Лопатный Рыцарь],https://www.youtube.com/watch?v=pDGaqUskBRM&list=PLvNp0Boas723qPMNwQfX0yRRHP242XH0f&index=35,3:37:40,SinWarlock,долг Х2,,хорошечно+,Игра,,электронное / инструментал,,,,,,,,,
16) Trans-Siberian Orchestra — The Lost Christmas Eve,https://open.spotify.com/track/4Mfcu6YghX7rSkBK3L3K1w?si=M0dvp0kdSfSlh98pa0CLTA,3:51:10,Rtur,долг,,ну такое++,,,метал / баллада / мюзикл/опера,,,,,,,,,
17) Би-2 feat. Oxxxymiron — Пора возвращаться домой {Time to Return Home},https://youtu.be/2FCF7HvX2fM?si=vZkTs3m_BcnaMosS,4:04:40,GameCloser,долг Х6👻,,атлична,,,поп-рок / рэп,,,,,,,,,
18) Invent Animate — Elysium,https://open.spotify.com/track/1yE3BzmOCdxEPJIbP4dKmZ?si=f32b97b009fe4045,4:15:45,graf_trahula1337,заказ,,атлична - -,,,метал / баллада,,,,,,,,,
19) UNKLE feat. Josh Homme — Restless,https://open.spotify.com/track/0OM7NF8fGhXVKKC36Wl1xp?si=e6f59fe6b7934632,4:34:05,Rtur,долг Х4☠️,,атлична,,,инди / рок,,,,,,,,,
20) Jake Kaufman — The Moon (Hiroshige Tonomura - The Moon; Remix) [DuckTales: Remastered OST],https://www.youtube.com/watch?v=YHEifuLCSIY,4:47:20,SinWarlock,долг Х3💀,,хорошечно-,Игра,,электронное / инструментал,,,,,,,,,
СТРИМ №176 (29.11.25),https://vkvideo.ru/video-182074546_456239288,, ,,,,,,,,,,,,,,,
 ,Пришло треков: 57,, ,,,,,,,,,,,,,,,
1) devalon — Beast of Purity and Predation [OST; Black Souls II],https://www.youtube.com/watch?v=KlYOiG1oqF8,16:35,wend1g,донат,,атлична,Игра,,оркестровое / фолк / инструментал,,,,,,,,,
2) Tokyo Ska Paradise Orchestra feat. Kosuke Saito — Shiro To Kuro No Montuno {Белый и чёрный Монтуно / White and black Montuno / 白と黒のモントゥーノ} (Live) [Opening Shinjuku Seven / Семёрка из Синдзюку],https://vimeo.com/1137900668?fl=ip&fe=ec,43:10,kumashisan,заказ,,хорошечно,Фильм,,поп / джаз / фолк,,,,,,,,,
3) Lorien Testard & Alice Duport-Percier — Flying Waters - Goblu [OST; Clair Obscur: Expedition 33],https://www.youtube.com/watch?v=oeFkb3LsmlQ,54:45,SinWarlock,заказ,,атлична,Игра,,инструментал / оркестровое / инди,,,,,,,,,
4) Hiroki Takahashi — Makafushigi Adventure {Мистическое приключение / Mystical adventure / 魔訶不思議アドベンチャー!} [1 Opening Dragon Ball / Драконий жемчуг],https://www.youtube.com/watch?v=FJqGirLjQn4,1:04:15,Eagler,долг Х6👻,,хорошечно,Аниме,,поп / фанк,,,,,,,,,
5) Soundgarden — Black Hole Sun,https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD?si=78687e7463b944b4,1:10:50,50 50,донат,,атлична+,,,инди / рок,,,,,,,,,
6) Hiroyuki Sawano feat. Laco — THE ANSWER [OST; 86 / Eighty-Six / Восемьдесят шесть],https://youtu.be/GI2sMndjYf8,1:24:05,DzenDish,долг Х5⚰️,,хорошечно - -,Аниме,,поп / поп-рок,,,,,,,,,
7) Cephalectomy — Shroud of Mysticism(2022),https://open.spotify.com/track/0Yyc0xvpngJmUEoyQ54VJ3?si=0aa9392914e94c61,1:38:55,MeinJurer,донат,,хорошечно - -,,,метал,,,,,,,,,
8) Camellia — Flamewall,https://cametek.bandcamp.com/track/flamewall,2:09:55,george,долг Х4☠️,,нормас,,,метал,,,,,,,,,
9) Марина Ланда & Сергей Васильев — Погоня {Chase} [OST; Смешарики],https://youtu.be/1Pagm4Ldnb4?feature=shared,2:31:05,50 50,донат,,хорошечно,Фильм,,джаз / инструментал / инди,,,,,,,,,
10) Phantom Siita — bot bakka {Только боты / Only bots / botばっか} (Producer Ado),https://youtu.be/tJofqLSYjM8?si=Lo_X5sghTw6BRzxF,2:42:45,AnonymousAdomin,долг Х3💀,,хорошечно+,,,поп,,,,,,,,,
11) LeaF — Alice in Misanthrope {Алиса в мизантропии / Ensei Arisu / 厭世アリス} (Конкурс BOFU2016) [OST; RYCEAM],https://www.youtube.com/watch?v=dYCQrXx8hLw,2:54:10,egorkasprigorca,донат,,хорошечно,Игра,,электронное / инструментал,,,,,,,,,
12) Kevin Penkin — Juroimoh Mutation {Мутация Джуроимо / Juroimoh Mutation / ジュロイモー変異} [OST; Made in Abyss: The Golden City of the Scorching Sun / Созданный в Бездне: Золотой город палящего солнца],https://open.spotify.com/track/1l8qO2xI1e0uYIjg8G3O1S?si=45dd82b483ee47e8,3:07:20,ТреньБрень,долг Х2,,гениально - -,Аниме,,оркестровое / электронное / инструментал,,,,,,,,,
13) Марина Ланда & Сергей Васильев — Шу-би-ду(Как хочется спать) {Shu-bi-du} [OST; Смешарики],https://youtu.be/s3Ima7fTEbQ?feature=shared,3:23:10,50 50,донат,,атлична,Фильм,,джаз / мюзикл/опера,,,,,,,,,
14) devalon — Heavenly Beast Florence [OST; Black Souls II],https://www.youtube.com/watch?v=HWUJ-CqozUw,3:32:20,wend1g,долг,,нормас++,Игра,,инструментал / оркестровое,,,,,,,,,
15) Koseki Bijou — ROCK IN!,https://youtu.be/XSZ0iMP80QQ?si=QoooGxyaUF6ULmW2,4:00:05,AShibaT,донат,,нормас,,,поп / электронное,,,,,,,,,
16) Necry Talkie — Hokujou no Susume {Рекомендация на север / Recommendation to the north / 北上のススメ},https://www.youtube.com/watch?v=0l-qw9yRFOA,4:14:00,AndrLord; Ivan_Vitalyevich,заказ,,атлична - -,,,поп / фанк,,,,,,,,,
17) Марина Ланда & Сергей Васильев — Вестибулярный аппарат {Вести-бу-би-лю-би-бу / Vestibular apparatus} (ПОВТОР: СТРИМ №43; 18 трек от @ButDarya) [OST; Смешарики],https://youtu.be/F3wQ2QTBcnM?feature=shared,4:24:50,50 50,повтор,,гениально - -,Фильм,,фанк,,,,,,,,,
18) Neil Patrick Harris feat. Felicia Day — My Eyes [OST; Dr. Horrible's Sing-Along Blog / Музыкальный блог Доктора Ужасного],https://open.spotify.com/track/7Ak1OOi3ecT36gDR1gAuMt?si=71b5741820024085,4:35:40,meganekka,долг Х5⚰️,,нормас++,Фильм,,мюзикл/опера,,,,,,,,,
19) Asaka — Seize The Day [1 Opening Laid-Back Camp Season 2 / Лагерь на свежем воздухе 2],https://open.spotify.com/track/5GEzwiv2acSw73nEVR3WHz?si=5817ae42c00d4c6c,4:45:35,wend1g,донат,,атлична,Аниме,,поп / джаз / фанк,,,,,,,,,
20) Rob Dougan — Furious Angels,https://www.youtube.com/watch?v=jtAmFKaThNE,4:56:45,Rtur,долг Х4☠️,,атлична - -,,,оркестровое / инди / электронное,,,,,,,,,
21) Марина Ланда & Сергей Васильев — Город Омск {Omsk City} [OST; Смешарики],https://youtu.be/ZA_cEF_FaOk?feature=shared,5:06:55,50 50,донат,,атлична,Фильм,,поп / фолк,,,,,,,,,
22) Kalafina — Manten {Полное небо / Full sky / 満天} [Ending Fate/Zero / Судьба/Начало],https://open.spotify.com/track/78j1pgpLYJb0ltrWvWpa8z?si=549333d7ff9e4b52,5:15:55,DzenDish,долг Х3💀,,хорошечно+,Аниме,,оркестровое / рок,,,,,,,,,
23) VEJERES — Своё вдохновение {Your inspiration},https://open.spotify.com/track/4AuBh4G6gAFfXVtN6tW9g6?si=647ff4baee314412,5:31:05,kiberbiller,донат,,кринж-контент++,,,инди,,,,,,,,,
24) TOOBOE — Alien {Инопланетянин / Iseijin / 異星人},https://open.spotify.com/track/4NcEAi1hBCn9Dd1xyNAYhY?si=e17e92d8dabe48a4,6:06:45,Xlibunka,долг Х2,,атлична - -,,,инди / поп-рок,,,,,,,,,
25) Марина Ланда & Сергей Васильев — Марафонец {Marathon Runner} [OST; Смешарики],https://youtu.be/TMPA3NG2oFI?feature=shared,6:22:10,50 50,донат,,атлична,Фильм,,поп / мюзикл/опера,,,,,,,,,
26) Tokyo Philharmonic Orchestra feat. Hatsune Miku — 1/6 -out of the gravity- (Vocaliod-P feat. Hatsune Miku — 1/6 -out of the gravity-; Live),https://youtu.be/CdRig4N6qrk?si=HK3cAulWLAwtypGR,6:33:50,laitsberg,долг,,хорошечно+,,,оркестровое / электронное,,,,,,,,,
27) Decrepit Birth — Sea of Memories,https://open.spotify.com/track/135NIDczsF2xJI9PBH3Th6?si=7857fb946f6d4637,6:46:35,MeinJurer,донат,,хорошечно+,,,метал,,,,,,,,,
28) HOYO-MiX — Straight Through the Snowtide [Genshin Impact OST],https://music.youtube.com/watch?v=sc3ixfg--ls&si=UKjCL9xgFSVeYeTo,7:04:25,EpicFire,долг Х5⚰️,,хорошечно++,Игра,,оркестровое / фолк,,,,,,,,,
29) Марина Ланда & Сергей Васильев — От винта! {From the Propeller} [OST; Смешарики],https://youtu.be/-gSXqL0vdQg?feature=shared,7:15:35,50 50,донат,,хорошечно++,Фильм,,поп / инди,,,,,,,,,
"30) Darren Korb feat. Erin Yvette, Ashley Barrett & Judy Alice Lee — Coral Crown [Hades II OST]",https://www.youtube.com/watch?v=N7QSavYWEE0&list=PL53mjgVKFq7yeq21XhibC8izNSVlPCsNP&index=9,7:30:35,SinWarlock,долг Х4☠️,,нормас++,Игра,,метал,,,,,,,,,
31) Domitori Taranofu — Vibe of the Night Cafe,https://drive.google.com/file/d/1M2IUXlLEK4lZj9vYiJqCPbH2IaFYrauB/view?usp=drive_link,7:41:15,Domitori Taranofu,донат,,нормас+,,,инструментал / поп / джаз,,,,,,,,,
32) Mochiutsune feat. Hatsune Miku — Okusuri Nonde Neyou {Давай выпьем лекарство и ляжем спать / Take medicine and go to sleep / Let's Take Some Medicine and Go to Bed / おくすり飲んで寝よう},https://www.youtube.com/watch?v=iIgngiAgA_Y,7:55:00,ShadeR_93,долг Х3💀,,хорошечно-,,,электронное,,,,,,,,,
33) Марина Ланда & Сергей Васильев — Огород {Vegetable Garden} [OST; Смешарики],https://youtu.be/s4VC-ZN1Le8?feature=sharedhttps://youtu.be/1Pagm4Ldnb4?feature=shared,8:05:45,50 50,донат,,хорошечно,Фильм,,фолк / оркестровое / инструментал,,,,,,,,,
33.5) Faryma.composer отвечает на вопросы,Стрим,8:14:10,Faryma.composer,,,,,,,,,,,,,,,
СТРИМ №175 (26.11.25),https://vkvideo.ru/video-182074546_456239286,, ,,,,,,,,,,,,,,,
ДОЛГОВОЙ, ,, ,,,,,,,,,,,,,,,
1) Robert L. Euvino — Castle Jam [Stronghold OST],https://youtu.be/UR-wBngW4tQ?si=yIpoUq2vjHzvCsSI,10:20,Дотер,долг Х7🥀,,хорошечно,Игра,,фолк / инструментал,,,,,,,,,
2) Laputa — Eve {Eve ~Last Night For You~},https://vimeo.com/1140383882?share=copy&fl=sv&fe=ci,22:25,kumashisan,заказ,,хорошечно,,,метал,,,,,,,,,
3) Kalafina — One Light [2 Ending The Heroic Legend of Arslan / Сказание об Арслане],https://www.youtube.com/watch?v=mxABgqQdX7g,36:10,DzenDish ,долг Х6👻,,хорошечно-,Аниме,,рок,,,,,,,,,
4) Giga feat. Kagamine Rin & Len — BRING IT ON {Rettou Joutou / 劣等上等} (Theme Song; Magical Mirai Kagamine Rin & Len 10th Anniversary),https://www.youtube.com/watch?v=oEkGC2HV7rc,50:40,Sheruka,долг Х5⚰️,,гениально - -,,,электронное,,,,,,,,,
5) Lindsey Stirling feat. Mako — Lose You Now,https://www.youtube.com/watch?v=JEexIgFkMjI&ab_channel=LindseyStirling,1:06:45,Enotishche,долг Х4☠️,,хорошечно - -,,,поп / баллада,,,,,,,,,
6) LiSA — Rally Go Round [1 Opening Nisekoi: False Love / Притворная любовь],https://www.youtube.com/watch?v=0Dv2swwcSSk,1:21:05,Ivan_Vitalyevich,долг Х3💀,,хорошечно-,Аниме,,поп-рок,,,,,,,,,
7) 9Lana — Only Way,https://open.spotify.com/track/5E12ouOnlp1xffpRYtjKtA,1:38:10,ansmit,долг Х2,,атлична - -,,,рэп,,,,,,,,,
8) Mori Calliope feat. BOOGEY VOXX — Graveyard Shift,https://youtu.be/TIgcVT4SfGw?si=Ipv4kSkSl5Ehbrdi,2:08:25,AShibaT,долг,,хорошечно,,,электронное / поп,,,,,,,,,
9) Bakudan Johnny — Tadahitori { 唯一人} [1 Opening Ping Pong The Animation / Пинг-понг],https://open.spotify.com/track/1dRCFFwXXVXMPmK4eCGsCJ?si=5a26291722d6417f,2:22:50,meganekka,долг Х6👻,,хорошечно-,Аниме,,рок / инди,,,,,,,,,
"10) Fear, and Loathing in Las Vegas — Until You Die Out [1 Ending Ninja Vs. Gokudo / Ниндзя и якудза]",https://www.youtube.com/watch?v=R2luQb3dJEM,2:33:50,DzenDish,долг Х5⚰️,,хорошечно - -,Аниме,,электронное / метал,,,,,,,,,
"11) dai feat. Nei Kino — Spider Lily ~Union of the Birds at Dawn~ {Spider lily - Imose no Musubi wa Shinonome zo / Spider lily -妹背の結びは東雲ぞ} [VN; Ending Higanbana no Saku Yoru ni / В ночь, когда расцветает Красная паучья лилия]",https://youtu.be/0PgJoiwrI5U?si=pnRG80GM1QzuBOY5,2:46:30,Monstrrro,долг Х4☠️,,хорошечно - -,Игра,,поп / баллада,,,,,,,,,
"12) Tei — Hira-yori Raiya, Sara-riya Takaki { 閃より雷や、更りや高き} [1 Opening My Gift Lvl 9999 Unlimited Gacha: Backstabbed in a Backwater Dungeon, I'm Out for Revenge! / Я был предан товарищами в глубине подземелья, но благодаря своему навыку «Бесконечная гача» я обрёл союзников 9999 уровня, чтобы отомстить бывшим соратникам и всему миру!]",https://www.youtube.com/watch?v=PCCK_Lbq5w0,2:59:55,DzenDish,долг Х3💀,,атлична-,Аниме,,инди / фолк ,,,,,,,,,
"13) Mrs. GREEN APPLE — Love me, Love you",https://youtu.be/FmDBhP4apbs,3:14:40,AndrLord,долг Х2,,атлична - -,,,поп / джаз,,,,,,,,,
"14) devalon — Mabel, Girl of Nihility [OST; Black Souls II]",https://www.youtube.com/watch?v=vRB0dsAitjE,3:25:40,wend1g,долг,,хорошечно-,Игра,progressive,электронное / инструментал,,,,,,,,,
15) Father Of Peace — Enemy,https://youtu.be/wcfO9ENSYAQ?si=aiRLAuI1MMYGF1P2,3:41:35,laitsberg,заказ,,атлична+,,,инди / рок,,,,,,,,,
СТРИМ №174 (13.11.25),https://vkvideo.ru/video-182074546_456239281,, ,,,,,,,,,,,,,,,
ЗАГАДОЧНЫЙ РЭП-АЛЬБОМ!, ,, ,,,,,,,,,,,,,,,
1) 163ONMYNECK — Сакура {Sakura},https://music.yandex.ru/track/116649698?utm_source=web&utm_medium=copy_link,11:30,arantear,заказ,,нормас - -,,,рэп,,,,,,,,,
2) 163ONMYNECK — Угадай мелодию {Guess the melody},https://music.yandex.ru/track/116649699?utm_source=web&utm_medium=copy_link,27:35,arantear,заказ,,нормас-,,,рэп,,,,,,,,,
3) 163ONMYNECK — Мальчики {Boys},https://music.yandex.ru/track/116649700?utm_source=web&utm_medium=copy_link,38:50,arantear,заказ,,хорошечно-,,,рэп,,,,,,,,,
4) 163ONMYNECK — Флинт {Flint},https://music.yandex.ru/track/116649701?utm_source=web&utm_medium=copy_link,49:50,arantear,заказ,,атлична - -,,,рэп,,,,,,,,,
5) 163ONMYNECK — Восап {Wasap},https://music.yandex.ru/track/116649702?utm_source=web&utm_medium=copy_link,57:20,arantear,заказ,,хорошечно-,,,рэп,,,,,,,,,
6) 163ONMYNECK — Щит толкин {Tolkien's shield},https://music.yandex.ru/track/116649703?utm_source=web&utm_medium=copy_link,1:05:25,arantear,заказ,,хорошечно+,,,рэп,,,,,,,,,
7) 163ONMYNECK — Другой стиль {Different style},https://music.yandex.ru/track/116649704?utm_source=web&utm_medium=copy_link,1:11:40,arantear,заказ,,нормас,,,рэп,,,,,,,,,
8) 163ONMYNECK — Гоатс милк {Goats Milk},https://music.yandex.ru/track/116649705?utm_source=web&utm_medium=copy_link,1:19:30,arantear,заказ,,нормас+,,,рэп,,,,,,,,,
9) 163ONMYNECK — Фри Рио {Free Rio},https://music.yandex.ru/track/116649706?utm_source=web&utm_medium=copy_link,1:23:45,arantear,заказ,,нормас-,,,рэп,,,,,,,,,
10) 163ONMYNECK — Запах свеч {The smell of candles},https://music.yandex.ru/track/116649707?utm_source=web&utm_medium=copy_link,1:31:00,arantear,заказ,,хорошечно-,,,рэп,,,,,,,,,
11) 163ONMYNECK — Средний {Average},https://music.yandex.ru/track/116649708?utm_source=web&utm_medium=copy_link,1:38:05,arantear,заказ,,нормас,,,рэп,,,,,,,,,
12) 163ONMYNECK — Городские девочки {City girls},https://music.yandex.ru/track/116649709?utm_source=web&utm_medium=copy_link,1:46:15,arantear,заказ,,хорошечно - -,,,рэп,,,,,,,,,
13) 163ONMYNECK — Аутруха {Autruha},https://music.yandex.ru/track/116649710?utm_source=web&utm_medium=copy_link,1:53:50,arantear,заказ,,нормас,,,рэп,,,,,,,,,
СТРИМ №173 (9.11.25),https://vkvideo.ru/video-182074546_456239277,, ,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ, ,, ,,,,,,,,,,,,,,,
1) BECK — Slip Out(Little More than Before) [OST; Beck: Mongolian Chop Squad / Бек: Восточная Ударная Группа],https://youtu.be/VMd--Txc2PQ?si=L8k27xnAwKmtavs_,11:15,@VisokomerniyListopadovich,очередь,,нормас++,Аниме,,рок,,,,,,,,,
2) RAISE A SUILEN — STRAY CERBERUS [BanG Dream! Girls Band Party! OST],https://open.spotify.com/track/3nNgQi8AS2xhx9HWATAjhE?si=775366547ef243bb,24:30,LegalizeMeToo,очередь,,атлична - -,Игра,,электронное / рок,,,,,,,,,
3) Sopor Aeternus & The Ensemble Of Shadows — La Mort d'Arthur,https://open.spotify.com/track/4QFrKiQnS1xxC3IeUtanM3?si=a956acbf113c4219,39:45,@seeaweedfish,очередь,,атлична - -,,,оркестровое / инди / фолк,,,,,,,,,
4) ovROG feat. Hatsune Miku — Положись на Говновоз (Eight - Yotsuya-san ni Yoroshiku; Vocaloid; Mashup Parody),https://youtu.be/x6sXG3eojc0,50:30,eurodance_with_cat,очередь,,ну такое,,,рок / электронное ,,,,,,,,,
"5) КняZz — ПИВО, ПИВО, ПИВО {BEER, BEER, BEER}",https://open.spotify.com/track/4n0cQ3y4z5aOj1UKcjbp4g,1:04:15,SinWarlock,очередь,,нормас-,,,рок,,,,,,,,,
6) STERVELL — Детство {Childhood},https://open.spotify.com/track/63cnXXrkf1XyiMLzGEbm62?si=51f9a2a113304802,1:15:00,@Taidazawr,очередь,,хорошечно,,,рок / поп-рок,,,,,,,,,
7) FENDIGLOCK feat. OG Buda — В Отеле {In the Hotel},https://open.spotify.com/track/6oTvIT27hvslyWP2zsEKOB?si=769938efdfa7456f,1:27:10,@skyshewalkwr,очередь,,нормас,,,рэп,,,,,,,,,
8) mzlff — комната смеха {laughing room / fun room},https://youtu.be/AgWgoLZj6So?si=1QTfq5yClXflxAXf,1:37:30,Jander,очередь,,хорошечно,,,рок / рэп,,,,,,,,,
"9) Qadtbep & Taku Iwasaki — Nikopol (Viral’s Theme) [OST; Tengen Toppa Gurren Lagann / Гуррен-Лаганн, пронзающий небеса]",https://youtu.be/irPyQoL7UJg?si=EPWLea8mpv2kB-ER,1:46:45,Меньшиков Максим,очередь,,нормас,Аниме,,метал,,,,,,,,,
10) Playboi Carti — OPM BABI,https://open.spotify.com/track/76yJsfb1CUy5Um8nFL7jKQ?si=9d79c4d460f8420d,1:56:45,@Baobab123453,очередь,,ну такое+,,,рэп,,,,,,,,,
11) MiatriSs — Yandere Song (Russian Version; The Original Song),https://www.youtube.com/watch?v=cNmQArJOnhA&vl=ru,2:07:15,@telott28,очередь,,ну такое-,,,электронное / поп,,,,,,,,,
12) Pedro Silva — DUET [OMORI OST],https://www.youtube.com/watch?v=ACon4txJiDA,2:35:05,@Kw14Sl88,очередь,,хорошечно - -,Игра,,оркестровое / инструментал,,,,,,,,,
13) Tristam — Violence,https://www.youtube.com/watch?v=y0P4znsQVYI&list=RDy0P4znsQVYI&start_radio=1,2:42:20,@Cubanexx,очередь,,хорошечно+,,,поп,,,,,,,,,
14) MAXIMUM THE HORMONE — F [OST; Dragon Ball Z: Resurrection 'F' / Драконий жемчуг Зет: Воскрешение 'F'],https://open.spotify.com/track/51br5d5nIel2Dm0PNP5X4N?si=08981988760e44cb,2:51:45,Kami1929,очередь,,атлична-,Аниме,,метал,,,,,,,,,
15) Kairiki Bear feat. Hatsune Miku — Yamiaka Steroid {Болезненный Стероид / Vent Account Steroid / Painful Steroid / 病み垢ステロイド} (Vocaloid),https://youtu.be/-Yx3LcfBbHs?si=KxvN9ak9v4SvyxWC,3:04:30,@name127zHs,очередь,,хорошечно++,,,электронное,,,,,,,,,
16) Justin E. Bell — Ondra's Gift [Pillars of Eternity OST],https://youtu.be/ufHH8ZQ4DFc?si=CMG9U5iGz_XMZlKi,3:13:45,gigantorix,очередь,,нормас++,Игра,,оркестровое / инструментал,,,,,,,,,
16.5) Faryma.composer показывает свой трек из японского альбома,Стрим,3:23:30,Faryma.composer,,,,,,,,,,,,,,,
17) Shiro Sagisu — will of the heart [OST; Bleach / Блич],https://open.spotify.com/track/1u4HiolKXPHin3S2rUmCVI?si=ee19c25ed80a426e,3:28:30,@snaip_91,очередь,,хорошечно - -,Аниме,,инструментал / оркестровое,,,,,,,,,
18) Karanoah — Ban {Пара / Pair / 番} [2 Ending Gachiakuta / Гачиакута / Гатиакута],https://www.youtube.com/watch?v=qCSI5MHYBYA,3:43:50,kumashisan,очередь,,атлична,Аниме,,инди / рок / электронное,,,,,,,,,
19) GACKT — Tsuki no Uta {Песня луны / Song of the Moon / 月の詩} [1 Ending Texhnolyze / Технолайз],https://open.spotify.com/track/4TN5edgSWsaan10reKlTu3?si=fd09d66f26294950,4:04:00,@Zagadochniy_Pretendent,очередь,,гениально - -,Аниме,,баллада / оркестровое / инди,,,,,,,,,
20) Devourment — Over Her Dead Body,https://open.spotify.com/track/5NFqadDGBzHgThoTMHQ34C?si=36c79060498c4a96,4:14:35,@Masyanyechka,очередь,,хорошечно - -,,,метал,,,,,,,,,
СТРИМ №172 (8.11.25),https://vkvideo.ru/video-182074546_456239276,, ,,,,,,,,,,,,,,,
